uf,cod_uf,ano,local,outra_uf,dentro_macrorregiao_saude,dentro_regiao_saude,fora_macrorregiao_saude,km_partos_fora_macrorregiao,km_partos_na_macrorregiao,km_partos_na_regiao,km_partos_fora_uf,km_partos_fora_macrorregiao_alta_complexidade,km_partos_na_macrorregiao_alta_complexidade,km_partos_na_regiao_alta_complexidade,km_partos_fora_uf_alta_complexidade,km_partos_fora_macrorregiao_baixa_complexidade,km_partos_na_macrorregiao_baixa_complexidade,km_partos_na_regiao_baixa_complexidade,km_partos_fora_uf_baixa_complexidade,nao_local,km_partos_fora_municipio,km_partos_fora_municipio_alta_complexidade,km_partos_fora_municipio_baixa_complexidade,destino_total
São Paulo,35,2024,345385,576,11117,80438,33368,28.684,57.8926,21.4769,156.2761,28.684,58.8481,21.4769,188.174,28.0441,44.8585,18.8261,95.8214,125499,23.2788,23.4997,23.2076,470887
São Paulo,35,2025,231045,429,7133,53603,22458,28.684,57.8926,21.4769,166.1472,29.9699,58.8481,21.5214,171.7331,24.9602,44.8585,19.2039,69.4204,83623,23.4315,23.8011,23.2076,314672
Paraná,41,2023,85446,814,3929,48704,940,79.4614,84.5847,34.3758,24.9051,103.546,85.614,42.0673,48.6355,48.837,84.1955,25.4516,13.226,54387,38.8002,44.8361,28.2009,139836
Paraná,41,2024,78807,771,3862,46670,917,74.4937,85.2558,34.2632,26.8362,98.01,85.179,40.86,49.6947,35.6929,85.3325,26.6779,13.226,52220,38.8186,42.9115,29.5441,131027
Paraná,41,2025,54567,507,3023,33032,696,72.892,85.614,35.8282,28.4611,84.2049,85.2558,40.885,48.6355,35.6929,90.5733,28.2009,13.226,37258,41.2846,44.1388,29.5441,91825
Santa Catarina,42,2023,55383,1029,2376,35732,2281,54.1686,46.779,22.428,44.5417,53.738,53.883,24.7802,44.5417,65.9677,28.1687,21.066,33.5961,41418,25.7263,26.7745,21.3298,96802
Santa Catarina,42,2024,53106,996,2278,35281,2124,54.1686,45.3871,23.1794,44.5417,53.738,53.2334,24.9407,44.5417,65.9677,26.6568,21.1575,33.5961,40679,25.6928,26.9107,21.1611,93787
Santa Catarina,42,2025,36420,688,1594,23911,1462,54.1686,47.4993,23.4182,44.5417,54.1686,53.883,25.2267,49.2862,65.9677,27.5118,20.3315,33.5961,27655,25.9386,27.1285,21.1575,64076
Rio Grande do Sul,43,2023,79280,208,10395,28867,2224,90.9086,38.39,26.691,98.0452,105.0269,36.9379,27.5585,98.0452,46.515,46.6658,24.109,60.8184,41694,30.9576,31.6315,28.1337,120974
Rio Grande do Sul,43,2024,72442,203,9819,27291,2233,90.9086,38.39,26.2405,99.3428,108.964,38.39,26.8661,102.6137,47.0501,46.6658,25.5552,98.694,39546,30.9576,31.0557,30.422,111988
