codmunres,ano,local,outra_uf,dentro_macrorregiao_saude,dentro_regiao_saude,fora_macrorregiao_saude,km_partos_fora_macrorregiao,km_partos_na_macrorregiao,km_partos_na_regiao,km_partos_fora_uf,km_partos_fora_macrorregiao_alta_complexidade,km_partos_na_macrorregiao_alta_complexidade,km_partos_na_regiao_alta_complexidade,km_partos_fora_uf_alta_complexidade,km_partos_fora_macrorregiao_baixa_complexidade,km_partos_na_macrorregiao_baixa_complexidade,km_partos_na_regiao_baixa_complexidade,km_partos_fora_uf_baixa_complexidade,nao_local,km_partos_fora_municipio,km_partos_fora_municipio_alta_complexidade,km_partos_fora_municipio_baixa_complexidade,destino_total,total_n_local_mun,codmunnasc1,n_nasc1,x_1,codmunnasc2,n_nasc2,x_2,codmunnasc3,n_nasc3,x_3,cnes,nasc_estab,nome_estabelecimento_fantasia,nascimentos,partos_na_macro_com_1mais_uti,partos_na_macro_com_4mais_uti,partos_na_macro_sem_1mais_uti,partos_na_macro_sem_4mais_uti,partos_fora_macro_com_1mais_uti,partos_fora_macro_com_4mais_uti,partos_fora_macro_sem_1mais_uti,partos_fora_macro_sem_4mais_uti,partos_na_macro_sem_inf,partos_fora_macro_sem_inf
412610,2025,0,0,0,42,0,0,0,18.4612,0,0,0,18.4612,0,0,0,0,0,42,18.4612,18.4612,0,42,42,410550,42,100,,,,,,,2733676,41,INSTITUTO BOM JESUS,0,0,0,0,0,0,0,0,0,0,0
412620,2023,3,0,20,68,10,72.254,94.675,106.1547,0,72.254,125.3797,106.1547,0,0,80.602,35.2984,0,98,106.1547,106.1547,80.602,101,98,410640,67,68.4,410190,10,10.2,412710,9,9.2,2582449,66,SANTA CASA DE CORNELIO PROCOPIO,1,1,1,0,0,0,0,0,0,0,0
412620,2024,2,0,12,51,6,72.254,125.3797,106.1547,0,72.254,125.3797,106.1547,0,0,80.602,92.2286,0,69,106.1547,106.1547,92.2286,71,69,410640,44,63.8,411370,9,13,412190,7,10.1,2582449,43,SANTA CASA DE CORNELIO PROCOPIO,2,2,2,0,0,0,0,0,0,0,0
412620,2025,0,0,7,33,10,72.254,125.3797,92.2286,0,72.254,125.3797,106.1547,0,0,80.602,92.2286,0,50,92.2286,106.1547,92.2286,50,50,412190,18,36,410640,15,30,412710,10,20,2582465,18,HOSPITAL E MATERNIDADE DE RIBEIRAO DO PINHAL,0,0,0,0,0,0,0,0,0,0,0
412625,2023,686,1,1,859,5,91.5868,95.724,7.3053,577.8529,91.5868,95.724,7.3053,0,0,0,7.3053,577.8529,866,7.3053,7.3053,292.5791,1552,866,411520,859,99.2,411370,2,0.2,410140,1,0.1,2594714,557,SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,27,27,27,0,0,0,0,0,0,0,0
412625,2024,8,0,0,1410,2,105.7212,0,7.3053,0,105.7212,0,7.3053,0,0,0,7.3053,0,1412,7.3053,7.3053,7.3053,1420,1412,411520,1409,99.8,410140,1,0.1,410210,1,0.1,2587335,543,HOSPITAL UNIVERSITARIO REGIONAL DE MARINGA,25,24,24,1,1,0,0,0,0,0,0
412625,2025,3,0,2,1050,1,417.523,80.43,7.3053,0,0,95.724,7.3053,0,417.523,65.1359,7.3053,0,1053,7.3053,7.3053,36.2206,1056,1053,411520,1050,99.7,410430,1,0.1,410690,1,0.1,2594714,474,SANTA CASA DE MARINGA HOSPITAL E MAT M AUXILIADORA,15,15,15,0,0,0,0,0,0,0,0
412627,2023,0,0,1,73,0,0,85.3906,44.0976,0,0,85.3906,79.7354,0,0,0,44.0976,0,74,44.0976,79.7354,44.0976,74,74,411850,35,47.3,410540,32,43.2,410650,6,8.1,17884,33,ISSAL,4,3,3,1,1,0,0,0,0,0,0
412627,2024,0,0,0,66,1,412.1419,0,35.614,0,412.1419,0,27.1303,0,0,0,44.0976,0,67,44.0976,27.1303,44.0976,67,67,410540,33,49.3,411850,29,43.3,410650,4,6,7039344,33,INSTITUTO SAO RAFAEL,0,0,0,0,0,0,0,0,0,0,0
412627,2025,0,0,1,49,0,0,186.9527,27.1303,0,0,186.9527,27.1303,0,0,0,44.0976,0,50,27.1303,27.1303,44.0976,50,50,410540,27,54,411850,16,32,410650,6,12,7039344,27,INSTITUTO SAO RAFAEL,0,0,0,0,0,0,0,0,0,0,0
412630,2023,16,54,1,185,0,0,244.4769,114.4739,15.9182,0,244.4769,155.3326,70.6225,0,0,114.4739,15.9182,240,114.4739,155.3326,114.4739,256,240,410490,112,46.7,411990,61,25.4,352320,46,19.2,7546866,101,,0,0,0,0,0,0,0,0,0,0,0
412630,2024,13,37,2,150,1,91.3388,257.3484,155.3326,15.9182,0,257.3484,155.3326,70.6225,91.3388,0,36.9044,15.9182,190,114.4739,155.3326,15.9182,203,190,411990,84,44.2,410490,54,28.4,352320,32,16.8,2686953,63,SANTA CASA DE MISERICORDIA DE PONTA GROSSA,7,4,4,0,0,0,0,0,0,3,0
412630,2025,6,39,3,93,1,81.3539,270.2199,155.3326,15.9182,0,270.2199,155.3326,70.6225,81.3539,270.2199,114.4739,15.9182,136,155.3326,155.3326,15.9182,142,136,411990,69,50.7,352320,36,26.5,410490,22,16.2,2686953,48,SANTA CASA DE MISERICORDIA DE PONTA GROSSA,1,0,0,0,0,0,0,0,0,1,0
