"codmunres","ano","nascimentos","partos_na_macro_com_1mais_uti","partos_na_macro_com_4mais_uti","partos_na_macro_sem_1mais_uti","partos_na_macro_sem_4mais_uti","partos_fora_macro_com_1mais_uti","partos_fora_macro_com_4mais_uti","partos_fora_macro_sem_1mais_uti","partos_fora_macro_sem_4mais_uti","partos_na_macro_sem_inf","partos_fora_macro_sem_inf"
110150,2025,0,0,0,0,0,0,0,0,0,0,0
110155,2023,0,0,0,0,0,0,0,0,0,0,0
110155,2024,0,0,0,0,0,0,0,0,0,0,0
110155,2025,0,0,0,0,0,0,0,0,0,0,0
110160,2023,0,0,0,0,0,0,0,0,0,0,0
110160,2024,1,0,0,1,1,0,0,0,0,0,0
110160,2025,2,2,2,0,0,0,0,0,0,0,0
110170,2023,2,1,1,1,1,0,0,0,0,0,0
110170,2024,2,1,1,0,0,1,1,0,0,0,0
110170,2025,0,0,0,0,0,0,0,0,0,0,0
110175,2023,0,0,0,0,0,0,0,0,0,0,0
110175,2024,0,0,0,0,0,0,0,0,0,0,0
110175,2025,0,0,0,0,0,0,0,0,0,0,0
110180,2023,1,0,0,1,1,0,0,0,0,0,0
110180,2024,1,0,0,1,1,0,0,0,0,0,0
110180,2025,0,0,0,0,0,0,0,0,0,0,0
120001,2023,1,0,0,1,1,0,0,0,0,0,0
120001,2024,3,3,3,0,0,0,0,0,0,0,0
120001,2025,4,4,4,0,0,0,0,0,0,0,0
120005,2023,3,2,2,1,1,0,0,0,0,0,0
120005,2024,2,1,1,1,1,0,0,0,0,0,0
120005,2025,1,0,0,1,1,0,0,0,0,0,0
120010,2023,8,3,3,5,5,0,0,0,0,0,0
120010,2024,4,0,0,4,4,0,0,0,0,0,0
120010,2025,4,1,1,2,2,1,1,0,0,0,0
120013,2023,2,2,2,0,0,0,0,0,0,0,0
120013,2024,2,2,2,0,0,0,0,0,0,0,0
120013,2025,2,2,2,0,0,0,0,0,0,0,0
120017,2023,2,2,2,0,0,0,0,0,0,0,0
120017,2024,3,2,2,1,1,0,0,0,0,0,0
120017,2025,0,0,0,0,0,0,0,0,0,0,0
120020,2023,27,27,27,0,0,0,0,0,0,0,0
120020,2024,21,20,20,1,1,0,0,0,0,0,0
120020,2025,12,12,12,0,0,0,0,0,0,0,0
120025,2023,8,7,7,1,1,0,0,0,0,0,0
120025,2024,4,3,3,1,1,0,0,0,0,0,0
120025,2025,3,2,2,1,1,0,0,0,0,0,0
120030,2023,8,2,2,6,6,0,0,0,0,0,0
120030,2024,3,0,0,3,3,0,0,0,0,0,0
120030,2025,6,1,1,5,5,0,0,0,0,0,0
120032,2023,2,1,1,1,1,0,0,0,0,0,0
120032,2024,1,1,1,0,0,0,0,0,0,0,0
120032,2025,0,0,0,0,0,0,0,0,0,0,0
120033,2023,4,2,2,2,2,0,0,0,0,0,0
120033,2024,4,4,4,0,0,0,0,0,0,0,0
120033,2025,1,1,1,0,0,0,0,0,0,0,0
120034,2023,4,3,3,1,1,0,0,0,0,0,0
120034,2024,1,0,0,1,1,0,0,0,0,0,0
120034,2025,2,1,1,1,1,0,0,0,0,0,0
120035,2023,5,3,3,2,2,0,0,0,0,0,0
120035,2024,4,2,2,2,2,0,0,0,0,0,0
120035,2025,1,1,1,0,0,0,0,0,0,0,0
120038,2023,5,4,4,1,1,0,0,0,0,0,0
120038,2024,3,2,2,1,1,0,0,0,0,0,0
120038,2025,2,2,2,0,0,0,0,0,0,0,0
120039,2023,3,2,2,1,1,0,0,0,0,0,0
120039,2024,4,2,2,2,2,0,0,0,0,0,0
120039,2025,2,1,1,1,1,0,0,0,0,0,0
120040,2023,79,77,77,1,1,1,1,0,0,0,0
120040,2024,73,73,73,0,0,0,0,0,0,0,0
120040,2025,43,41,41,0,0,2,2,0,0,0,0
120042,2023,2,2,2,0,0,0,0,0,0,0,0
120042,2024,3,3,3,0,0,0,0,0,0,0,0
120042,2025,2,2,2,0,0,0,0,0,0,0,0
120043,2023,3,2,2,1,1,0,0,0,0,0,0
120043,2024,1,1,1,0,0,0,0,0,0,0,0
120043,2025,1,1,1,0,0,0,0,0,0,0,0
120045,2023,3,2,2,1,1,0,0,0,0,0,0
120045,2024,1,1,1,0,0,0,0,0,0,0,0
