"codmunres","ano","nascidos_condicoes_ameacadoras","nascidos_estabelecimentos_publicos_sih","internacoes_na_macro_1_a_6_dias","internacoes_fora_macro_1_a_6_dias","internacoes_geral_1_a_6_dias","internacoes_na_macro_7_a_27_dias","internacoes_fora_macro_7_a_27_dias","internacoes_geral_7_a_27_dias","internacoes_na_macro_0_dias","internacoes_fora_macro_0_dias","internacoes_geral_0_dias","internacoes_na_macro_geral","internacoes_fora_macro_geral","internacoes_geral_geral","internacoes_fora_macro_0_dias_internado_uti","internacoes_fora_macro_1_a_6_dias_internado_uti","internacoes_fora_macro_7_a_27_dias_internado_uti","internacoes_na_macro_0_dias_internado_uti","internacoes_na_macro_1_a_6_dias_internado_uti","internacoes_na_macro_7_a_27_dias_internado_uti","internacoes_na_macro_geral_internado_uti","internacoes_fora_macro_geral_internado_uti","internacoes_geral_7_a_27_dias_internado_uti","internacoes_geral_1_a_6_dias_internado_uti","internacoes_geral_0_dias_internado_uti","internacoes_geral_geral_internado_uti"
"110003",2017,1,46,4,0,4,0,0,0,8,1,9,12,1,13,0,0,0,0,0,0,0,0,0,0,0,0
"110003",2018,1,56,2,0,2,0,0,0,4,4,8,6,4,10,4,0,0,0,0,0,0,4,0,0,4,4
"110003",2019,0,60,3,0,3,1,0,1,1,1,2,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0
"110003",2020,1,54,4,0,4,0,0,0,8,0,8,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"110003",2021,1,40,3,0,3,1,1,2,4,0,4,8,1,9,0,0,1,0,0,0,0,1,1,0,0,1
"110004",2012,17,941,15,4,19,16,3,19,51,16,67,82,23,105,8,3,1,0,0,0,0,12,1,3,8,12
"110004",2013,26,980,11,7,18,28,1,29,40,16,56,79,24,103,13,3,0,0,0,0,0,16,0,3,13,16
"110004",2014,26,937,14,10,24,19,5,24,28,24,52,61,39,100,18,5,2,0,0,0,0,25,2,5,18,25
"110004",2015,21,972,11,9,20,6,6,12,19,27,46,36,42,78,16,2,3,0,0,0,0,21,3,2,16,21
"110004",2016,22,1057,11,8,19,7,9,16,16,22,38,34,39,73,12,4,5,0,0,0,0,21,5,4,12,21
"110004",2017,25,981,36,12,48,18,2,20,34,13,47,88,27,115,10,7,0,0,0,0,0,17,0,7,10,17
"110004",2018,21,1141,24,15,39,34,3,37,20,11,31,78,29,107,8,12,3,0,0,1,1,23,4,12,8,24
"110004",2019,22,1041,46,18,64,34,14,48,32,11,43,112,43,155,10,15,11,0,0,0,0,36,11,15,10,36
"110004",2020,43,1068,21,13,34,23,4,27,51,12,63,95,29,124,8,9,4,0,0,0,0,21,4,9,8,21
"110004",2021,42,1056,42,15,57,23,4,27,63,8,71,128,27,155,5,9,1,0,0,0,0,15,1,9,5,15
"110005",2012,3,248,11,0,11,4,0,4,12,0,12,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0
"110005",2013,1,247,8,0,8,3,0,3,16,2,18,27,2,29,2,0,0,0,0,0,0,2,0,0,2,2
"110005",2014,6,253,9,0,9,2,0,2,22,3,25,33,3,36,2,0,0,0,0,0,0,2,0,0,2,2
"110005",2015,2,270,20,0,20,5,0,5,18,4,22,43,4,47,1,0,0,0,0,0,0,1,0,0,1,1
"110005",2016,7,217,8,0,8,2,2,4,14,10,24,24,12,36,4,0,1,0,0,1,1,5,2,0,4,6
"110005",2017,5,207,9,1,10,1,0,1,21,2,23,31,3,34,2,1,0,0,0,0,0,3,0,1,2,3
"110005",2018,4,202,8,0,8,2,0,2,9,2,11,19,2,21,2,0,0,0,0,0,0,2,0,0,2,2
"110005",2019,7,180,13,1,14,2,1,3,8,4,12,23,6,29,3,1,1,0,0,0,0,5,1,1,3,5
"110005",2020,2,203,8,0,8,1,0,1,13,2,15,22,2,24,2,0,0,0,0,0,0,2,0,0,2,2
"110005",2021,4,203,9,0,9,1,0,1,13,4,17,23,4,27,2,0,0,1,1,0,2,2,0,1,3,4
"110006",2012,5,174,11,0,11,5,0,5,14,2,16,30,2,32,2,0,0,0,0,0,0,2,0,0,2,2
"110006",2013,4,159,15,0,15,3,0,3,22,6,28,40,6,46,4,0,0,0,0,0,0,4,0,0,4,4
"110006",2014,3,254,22,1,23,7,0,7,36,1,37,65,2,67,0,1,0,0,1,0,1,1,0,2,0,2
"110006",2015,4,202,23,1,24,3,0,3,15,3,18,41,4,45,3,0,0,0,0,0,0,3,0,0,3,3
"110006",2016,1,128,8,2,10,2,1,3,12,3,15,22,6,28,2,1,1,0,0,0,0,4,1,1,2,4
"110006",2017,4,157,14,0,14,1,0,1,11,4,15,26,4,30,2,0,0,0,0,1,1,2,1,0,2,3
