"codmunres","ano","obitos_mat_totais","obitos_mat_diretos","obitos_mat_aborto","obitos_mat_hipertensao","obitos_mat_hemorragia","obitos_mat_infec_puerperal","nascidos"
"130270",2015,2,1,0,0,1,0,930
"130270",2016,2,1,0,0,0,0,911
"130270",2017,1,1,0,0,0,0,989
"130270",2021,1,1,0,0,0,0,1010
"130270",2022,1,1,0,0,1,0,943
"130280",2020,1,1,0,1,0,0,417
"130280",2021,1,1,0,1,0,0,449
"130290",2012,2,1,0,1,0,0,1311
"130290",2014,1,1,0,0,0,0,1362
"130290",2016,1,1,0,0,0,0,1273
"130290",2017,5,5,0,1,0,0,1553
"130290",2018,4,1,0,1,0,0,1581
"130290",2019,1,0,0,0,0,0,1539
"130290",2020,2,1,0,1,0,0,1403
"130290",2021,3,2,0,2,0,0,1515
"130300",2015,2,2,1,0,1,0,356
"130300",2017,1,1,0,1,0,0,358
"130300",2019,1,1,0,0,0,0,346
"130310",2016,2,2,0,1,0,0,587
"130310",2018,1,1,0,1,0,0,612
"130310",2020,1,1,0,1,0,0,596
"130310",2021,1,1,0,1,0,0,640
"130320",2014,1,0,0,0,0,0,307
"130320",2020,1,0,0,0,0,0,290
"130330",2016,2,2,0,1,1,0,386
"130330",2018,4,4,0,1,1,0,379
"130340",2012,1,0,0,0,0,0,2021
"130340",2013,1,1,0,0,1,0,2133
"130340",2014,1,1,0,0,1,0,2056
"130340",2017,3,2,0,0,0,2,2139
"130340",2018,2,1,0,0,1,0,2067
"130340",2019,2,2,0,1,0,0,1947
"130340",2021,3,2,0,1,0,0,2039
"130340",2022,1,1,0,0,0,0,1923
"130350",2012,1,1,0,1,0,0,308
"130350",2018,1,1,0,0,1,0,362
"130350",2019,1,1,0,1,0,0,369
"130350",2022,1,1,0,0,0,0,348
"130353",2013,1,1,0,0,0,1,580
"130353",2014,1,0,0,0,0,0,585
"130353",2016,1,1,1,0,0,0,548
"130356",2015,1,1,0,0,0,1,391
"130356",2019,1,0,0,0,0,0,440
"130356",2020,1,1,0,0,0,1,393
"130356",2022,1,1,0,0,0,0,394
"130360",2013,1,1,0,1,0,0,279
"130360",2015,1,1,0,0,0,1,301
"130360",2020,1,1,0,0,1,0,320
"130360",2021,1,1,0,1,0,0,368
"130370",2014,1,1,0,0,0,1,652
"130370",2016,1,1,0,0,1,0,693
"130370",2017,1,1,0,0,0,0,724
"130370",2020,2,0,0,0,0,0,733
"130380",2012,1,1,0,0,0,0,1119
"130380",2013,3,3,1,1,1,0,1143
"130380",2014,1,0,0,0,0,0,1254
"130380",2015,2,2,0,1,0,0,1120
"130380",2017,3,3,0,0,3,0,1214
"130380",2018,3,3,0,1,1,0,1227
"130380",2019,2,2,0,0,1,1,1436
"130380",2020,2,2,0,0,1,0,1378
"130380",2021,3,3,0,0,2,0,1588
"130390",2013,1,1,0,0,0,1,914
"130390",2014,1,1,0,0,0,0,987
"130390",2015,1,1,0,0,1,0,753
"130390",2016,1,1,0,0,0,0,871
"130390",2018,1,1,0,1,0,0,935
"130390",2019,1,1,0,0,0,0,956
"130390",2020,2,1,0,0,1,0,919
"130390",2021,3,3,0,0,0,0,993
"130390",2022,4,2,1,0,1,0,923
"130395",2014,1,0,0,0,0,0,163
"130400",2014,1,1,0,1,0,0,180
"130400",2022,1,1,0,1,0,0,191
"130406",2012,1,0,0,0,0,0,1632
"130406",2013,1,1,1,0,0,0,1619
"130406",2014,1,1,0,0,0,0,1820
"130406",2016,2,2,0,0,0,1,1753
"130406",2017,2,2,1,1,0,0,1701
"130406",2018,2,2,1,0,0,0,1685
"130406",2019,3,2,0,0,0,0,1770
"130406",2021,2,1,0,0,1,0,1812
"130406",2022,2,1,0,1,0,0,1516
"130410",2012,2,0,0,0,0,0,401
"130410",2014,4,3,0,2,0,0,391
"130410",2015,1,1,0,1,0,0,439
"130410",2016,1,0,0,0,0,0,389
"130410",2017,1,0,0,0,0,0,405
"130410",2020,1,1,0,0,1,0,452
"130410",2021,2,1,0,0,0,0,468
"130420",2012,1,1,0,1,0,0,1558
"130420",2014,2,2,0,0,1,0,1589
"130420",2015,2,2,0,1,0,1,1754
"130420",2016,1,1,0,0,0,0,1679
"130420",2017,1,1,0,0,1,0,1763
"130420",2019,3,2,0,1,0,0,1927
"130420",2021,2,1,0,1,0,0,1871
"130420",2022,1,1,0,1,0,0,1858
"130423",2012,1,1,0,1,0,0,348
"130423",2015,1,1,0,0,0,0,391
"130423",2020,1,0,0,0,0,0,412
"130426",2013,1,1,0,1,0,0,304
"130426",2020,3,2,1,0,0,0,334
"130426",2021,2,1,0,0,1,0,387
"130430",2012,1,0,0,0,0,0,298
"130430",2016,1,1,0,0,1,0,265
"130440",2012,1,1,0,0,1,0,321
