"LBE_FETAL","CID"
"Causas de morte mal-definidas","R092"
"Causas de morte mal-definidas","R093"
"Causas de morte mal-definidas","R098"
"Causas de morte mal-definidas","R10"
"Causas de morte mal-definidas","R100"
"Causas de morte mal-definidas","R101"
"Causas de morte mal-definidas","R102"
"Causas de morte mal-definidas","R103"
"Causas de morte mal-definidas","R104"
"Causas de morte mal-definidas","R11"
"Causas de morte mal-definidas","R12"
"Causas de morte mal-definidas","R13"
"Causas de morte mal-definidas","R14"
"Causas de morte mal-definidas","R15"
"Causas de morte mal-definidas","R16"
"Causas de morte mal-definidas","R160"
"Causas de morte mal-definidas","R161"
"Causas de morte mal-definidas","R162"
"Causas de morte mal-definidas","R17"
"Causas de morte mal-definidas","R18"
"Causas de morte mal-definidas","R19"
"Causas de morte mal-definidas","R190"
"Causas de morte mal-definidas","R191"
"Causas de morte mal-definidas","R192"
"Causas de morte mal-definidas","R193"
"Causas de morte mal-definidas","R194"
"Causas de morte mal-definidas","R195"
"Causas de morte mal-definidas","R196"
"Causas de morte mal-definidas","R198"
"Causas de morte mal-definidas","R20"
"Causas de morte mal-definidas","R200"
"Causas de morte mal-definidas","R201"
"Causas de morte mal-definidas","R202"
"Causas de morte mal-definidas","R203"
"Causas de morte mal-definidas","R208"
"Causas de morte mal-definidas","R21"
"Causas de morte mal-definidas","R22"
"Causas de morte mal-definidas","R220"
"Causas de morte mal-definidas","R221"
"Causas de morte mal-definidas","R222"
"Causas de morte mal-definidas","R223"
"Causas de morte mal-definidas","R224"
"Causas de morte mal-definidas","R227"
"Causas de morte mal-definidas","R229"
"Causas de morte mal-definidas","R23"
"Causas de morte mal-definidas","R230"
"Causas de morte mal-definidas","R231"
"Causas de morte mal-definidas","R232"
"Causas de morte mal-definidas","R233"
"Causas de morte mal-definidas","R234"
"Causas de morte mal-definidas","R238"
"Causas de morte mal-definidas","R25"
"Causas de morte mal-definidas","R250"
"Causas de morte mal-definidas","R251"
"Causas de morte mal-definidas","R252"
"Causas de morte mal-definidas","R253"
"Causas de morte mal-definidas","R258"
"Causas de morte mal-definidas","R26"
"Causas de morte mal-definidas","R260"
"Causas de morte mal-definidas","R261"
"Causas de morte mal-definidas","R262"
"Causas de morte mal-definidas","R268"
"Causas de morte mal-definidas","R27"
"Causas de morte mal-definidas","R270"
"Causas de morte mal-definidas","R278"
"Causas de morte mal-definidas","R29"
"Causas de morte mal-definidas","R290"
"Causas de morte mal-definidas","R291"
"Causas de morte mal-definidas","R292"
"Causas de morte mal-definidas","R293"
"Causas de morte mal-definidas","R294"
"Causas de morte mal-definidas","R298"
"Causas de morte mal-definidas","R30"
"Causas de morte mal-definidas","R300"
"Causas de morte mal-definidas","R301"
"Causas de morte mal-definidas","R309"
"Causas de morte mal-definidas","R31"
"Causas de morte mal-definidas","R32"
"Causas de morte mal-definidas","R33"
"Causas de morte mal-definidas","R34"
"Causas de morte mal-definidas","R35"
"Causas de morte mal-definidas","R36"
"Causas de morte mal-definidas","R39"
"Causas de morte mal-definidas","R390"
"Causas de morte mal-definidas","R391"
"Causas de morte mal-definidas","R392"
"Causas de morte mal-definidas","R398"
"Causas de morte mal-definidas","R40"
"Causas de morte mal-definidas","R400"
"Causas de morte mal-definidas","R401"
"Causas de morte mal-definidas","R402"
"Causas de morte mal-definidas","R41"
"Causas de morte mal-definidas","R410"
"Causas de morte mal-definidas","R411"
"Causas de morte mal-definidas","R412"
"Causas de morte mal-definidas","R413"
"Causas de morte mal-definidas","R418"
"Causas de morte mal-definidas","R42"
"Causas de morte mal-definidas","R43"
"Causas de morte mal-definidas","R430"
"Causas de morte mal-definidas","R431"
"Causas de morte mal-definidas","R432"
"Causas de morte mal-definidas","R438"
"Causas de morte mal-definidas","R44"
"Causas de morte mal-definidas","R440"
"Causas de morte mal-definidas","R441"
"Causas de morte mal-definidas","R442"
"Causas de morte mal-definidas","R443"
"Causas de morte mal-definidas","R448"
"Causas de morte mal-definidas","R45"
"Causas de morte mal-definidas","R450"
"Causas de morte mal-definidas","R451"
"Causas de morte mal-definidas","R452"
"Causas de morte mal-definidas","R453"
"Causas de morte mal-definidas","R454"
"Causas de morte mal-definidas","R455"
"Causas de morte mal-definidas","R456"
"Causas de morte mal-definidas","R457"
"Causas de morte mal-definidas","R458"
"Causas de morte mal-definidas","R46"
"Causas de morte mal-definidas","R460"
"Causas de morte mal-definidas","R461"
"Causas de morte mal-definidas","R462"
"Causas de morte mal-definidas","R463"
"Causas de morte mal-definidas","R464"
"Causas de morte mal-definidas","R465"
"Causas de morte mal-definidas","R466"
"Causas de morte mal-definidas","R467"
"Causas de morte mal-definidas","R468"
"Causas de morte mal-definidas","R47"
"Causas de morte mal-definidas","R470"
"Causas de morte mal-definidas","R471"
"Causas de morte mal-definidas","R478"
"Causas de morte mal-definidas","R48"
